from https://geodes.santepubliquefrance.fr/#bbox=-32355,6360360,603501,337155&c=indicator&i=covid_hospit_incid.incid_rea&s=2021-01-01&selcodgeo=11&view=map1
jj,mm,aaaa,deces,admissions
19,03,2020,37,151
20,03,2020,26,89
21,03,2020,28,104
22,03,2020,24,125
23,03,2020,46,155
24,03,2020,69,236
25,03,2020,97,219
26,03,2020,106,221
27,03,2020,120,195
28,03,2020,112,242
29,03,2020,120,158
30,03,2020,147,189
31,03,2020,225,288
01,04,2020,194,307
02,04,2020,207,261
03,04,2020,226,258
04,04,2020,177,192
05,04,2020,140,153
06,04,2020,251,196
07,04,2020,276,239
08,04,2020,227,208
09,04,2020,191,170
10,04,2020,262,197
11,04,2020,121,117
12,04,2020,134,125
13,04,2020,164,102
14,04,2020,236,135
15,04,2020,209,125
16,04,2020,184,126
17,04,2020,195,95
18,04,2020,155,94
19,04,2020,93,43
20,04,2020,188,73
21,04,2020,157,83
22,04,2020,130,68
23,04,2020,116,70
24,04,2020,126,62
25,04,2020,68,64
26,04,2020,62,28
27,04,2020,115,50
28,04,2020,158,57
29,04,2020,101,44
30,04,2020,72,45
01,05,2020,41,25
02,05,2020,40,25
03,05,2020,32,33
04,05,2020,93,37
05,05,2020,79,30
06,05,2020,64,31
07,05,2020,46,42
08,05,2020,32,39
09,05,2020,30,16
10,05,2020,24,14
11,05,2020,57,29
12,05,2020,71,35
13,05,2020,36,26
14,05,2020,36,19
15,05,2020,31,27
16,05,2020,16,16
17,05,2020,17,8
18,05,2020,39,12
19,05,2020,54,29
20,05,2020,29,16
21,05,2020,23,16
22,05,2020,31,11
23,05,2020,10,10
24,05,2020,12,10
25,05,2020,33,16
26,05,2020,38,10
27,05,2020,27,11
28,05,2020,25,9
29,05,2020,17,12
30,05,2020,38,8
31,05,2020,18,3
01,06,2020,13,3
02,06,2020,29,12
03,06,2020,36,12
04,06,2020,12,6
05,06,2020,12,5
06,06,2020,22,7
07,06,2020,5,3
08,06,2020,14,6
09,06,2020,30,7
10,06,2020,9,10
11,06,2020,12,11
12,06,2020,15,5
13,06,2020,15,2
14,06,2020,3,2
15,06,2020,11,5
16,06,2020,19,6
17,06,2020,11,2
18,06,2020,4,6
19,06,2020,2,4
20,06,2020,11,2
21,06,2020,2,0
22,06,2020,8,5
23,06,2020,14,6
24,06,2020,0,3
25,06,2020,7,5
26,06,2020,11,5
27,06,2020,2,1
28,06,2020,0,1
29,06,2020,4,4
30,06,2020,10,5
01,07,2020,3,9
02,07,2020,6,2
03,07,2020,6,2
04,07,2020,7,0
05,07,2020,0,2
06,07,2020,4,2
07,07,2020,17,7
08,07,2020,10,3
09,07,2020,6,4
10,07,2020,2,2
11,07,2020,2,2
12,07,2020,0,0
13,07,2020,8,2
14,07,2020,2,3
15,07,2020,5,5
16,07,2020,6,10
17,07,2020,1,5
18,07,2020,3,2
19,07,2020,0,1
20,07,2020,5,3
21,07,2020,5,4
22,07,2020,0,8
23,07,2020,6,2
24,07,2020,5,5
25,07,2020,4,2
26,07,2020,0,0
27,07,2020,2,12
28,07,2020,9,13
29,07,2020,7,5
30,07,2020,4,6
31,07,2020,2,7
01,08,2020,1,1
02,08,2020,1,0
03,08,2020,12,5
04,08,2020,4,9
05,08,2020,4,10
06,08,2020,4,11
07,08,2020,8,10
08,08,2020,1,3
09,08,2020,0,3
10,08,2020,4,11
11,08,2020,3,8
12,08,2020,9,6
13,08,2020,4,9
14,08,2020,4,6
15,08,2020,1,7
16,08,2020,0,0
17,08,2020,8,17
18,08,2020,8,15
19,08,2020,6,7
20,08,2020,6,10
21,08,2020,15,8
22,08,2020,5,1
23,08,2020,1,1
24,08,2020,2,16
25,08,2020,2,14
26,08,2020,13,9
27,08,2020,6,9
28,08,2020,6,13
29,08,2020,1,8
30,08,2020,2,1
31,08,2020,11,10
01,09,2020,6,11
02,09,2020,14,14
03,09,2020,7,15
04,09,2020,6,19
05,09,2020,1,6
06,09,2020,0,3
07,09,2020,5,19
08,09,2020,8,17
09,09,2020,7,15
10,09,2020,6,13
11,09,2020,5,15
12,09,2020,6,19
13,09,2020,2,9
14,09,2020,9,29
15,09,2020,10,34
16,09,2020,29,30
17,09,2020,13,22
18,09,2020,86,29
19,09,2020,9,18
20,09,2020,6,12
21,09,2020,8,35
22,09,2020,19,42
23,09,2020,14,54
24,09,2020,15,27
25,09,2020,7,42
26,09,2020,11,26
27,09,2020,11,18
28,09,2020,25,49
29,09,2020,11,57
30,09,2020,21,42
01,10,2020,15,50
02,10,2020,14,36
03,10,2020,13,31
04,10,2020,5,16
05,10,2020,24,60
06,10,2020,15,51
07,10,2020,21,54
08,10,2020,24,28
09,10,2020,17,49
10,10,2020,14,31
11,10,2020,11,21
12,10,2020,32,57
13,10,2020,27,76
14,10,2020,19,54
15,10,2020,29,56
16,10,2020,21,50
17,10,2020,22,51
18,10,2020,27,37
19,10,2020,36,70
20,10,2020,38,93
21,10,2020,34,70
22,10,2020,49,84
23,10,2020,46,85
24,10,2020,41,63
25,10,2020,23,43
26,10,2020,56,73
27,10,2020,51,121
28,10,2020,44,84
29,10,2020,56,87
30,10,2020,46,100
31,10,2020,53,70
01,11,2020,32,58
02,11,2020,71,94
03,11,2020,79,115
04,11,2020,73,120
05,11,2020,66,85
06,11,2020,70,72
07,11,2020,64,79
08,11,2020,29,76
09,11,2020,113,106
10,11,2020,88,106
11,11,2020,67,66
12,11,2020,69,83
13,11,2020,94,98
14,11,2020,66,64
15,11,2020,48,35
16,11,2020,89,64
17,11,2020,63,72
18,11,2020,74,80
19,11,2020,76,53
20,11,2020,50,65
21,11,2020,55,54
22,11,2020,25,38
23,11,2020,70,39
24,11,2020,79,58
25,11,2020,55,47
26,11,2020,47,32
27,11,2020,58,38
28,11,2020,32,23
29,11,2020,27,24
30,11,2020,62,35
01,12,2020,65,65
02,12,2020,48,25
03,12,2020,52,29
04,12,2020,40,33
05,12,2020,24,26
06,12,2020,15,10
07,12,2020,53,43
08,12,2020,61,45
09,12,2020,59,46
10,12,2020,62,54
11,12,2020,46,39
12,12,2020,30,24
13,12,2020,12,20
14,12,2020,51,50
15,12,2020,46,50
16,12,2020,46,52
17,12,2020,44,31
18,12,2020,43,37
19,12,2020,25,24
20,12,2020,13,14
21,12,2020,34,25
22,12,2020,51,49
23,12,2020,47,48
24,12,2020,42,31
25,12,2020,19,31
26,12,2020,18,13
27,12,2020,26,19
28,12,2020,50,37
29,12,2020,64,49
30,12,2020,53,49
31,12,2020,25,29
01,01,2021,20,19
